Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
ESC_RA+_Rarg_PT_10k_rep1.R1	38.56936806705916	47.0	150.0	36.36363636363637	58475790.0
ESC_RA+_Rarg_PT_10k_rep1.R2	37.0590383433923	51.0	150.0	36.36363636363637	58475790.0
ESC_RA+_Rarg_PT_1k_rep1.R1	46.145680351695376	48.0	150.0	36.36363636363637	67523910.0
ESC_RA+_Rarg_PT_1k_rep1.R2	44.47730587999277	52.0	150.0	36.36363636363637	67523910.0
ESC_RA+_Rarg_PT_1k_rep2.R1	52.6104759996874	51.0	150.0	45.45454545454545	55832819.0
ESC_RA+_Rarg_PT_1k_rep2.R2	51.23202950688419	56.0	150.0	45.45454545454545	55832819.0
ESC_RA+_Rarg_SC_10k_rep1.R1	31.03749890243253	43.0	150.0	27.27272727272727	44958207.0
ESC_RA+_Rarg_SC_10k_rep1.R2	29.735989229229304	47.0	150.0	36.36363636363637	44958207.0
ESC_RA+_Rarg_SC_1k_rep1.R1	50.363886351220046	48.0	150.0	45.45454545454545	42031869.0
ESC_RA+_Rarg_SC_1k_rep1.R2	48.276836228302265	52.0	150.0	36.36363636363637	42031869.0
ESC_RA+_Rarg_SC_1k_rep2.R1	45.09269637556809	48.0	150.0	36.36363636363637	44412693.0
ESC_RA+_Rarg_SC_1k_rep2.R2	43.384243829529346	53.0	150.0	36.36363636363637	44412693.0
ESC_RA-_Rarg_PT_10k_rep1.R1	31.125746311497835	45.0	150.0	36.36363636363637	54678335.0
ESC_RA-_Rarg_PT_10k_rep1.R2	29.941099152816392	48.0	150.0	36.36363636363637	54678335.0
ESC_RA-_Rarg_PT_1k_rep1.R1	44.346006739750145	48.0	150.0	36.36363636363637	57542360.0
ESC_RA-_Rarg_PT_1k_rep1.R2	43.212295440631344	53.0	150.0	36.36363636363637	57542360.0
ESC_RA-_Rarg_PT_1k_rep2.R1	42.71774029995415	47.0	150.0	36.36363636363637	54534888.0
ESC_RA-_Rarg_PT_1k_rep2.R2	32.954983447997705	51.0	150.0	36.36363636363637	21016870.0
ESC_RA-_Rarg_SC_10k_rep1.R1	32.120190606482495	45.0	150.0	36.36363636363637	45069752.0
ESC_RA-_Rarg_SC_10k_rep1.R2	31.19701855349868	48.0	150.0	36.36363636363637	45069752.0
ESC_RA-_Rarg_SC_1k_rep1.R1	51.57621955710353	49.0	150.0	45.45454545454545	47177185.0
ESC_RA-_Rarg_SC_1k_rep1.R2	49.672757499847606	53.0	150.0	36.36363636363637	47177185.0
ESC_RA-_Rarg_SC_1k_rep2.R1	47.759381014764024	49.0	150.0	36.36363636363637	42076534.0
ESC_RA-_Rarg_SC_1k_rep2.R2	45.439933835214696	52.0	150.0	36.36363636363637	42076534.0
