Module	Section	Sample Name	Source
FastQC	all_sections	ESC_Rarg_PT_5k_rep1.R2	/home1/gyang/work_space/4.ProjectET/batch16_cr/1.rawdata/fastqc/ESC_Rarg_PT_5k_rep1.R2_fastqc.zip
FastQC	all_sections	ESC_Rarg_SC_5k_rep1.R1	/home1/gyang/work_space/4.ProjectET/batch16_cr/1.rawdata/fastqc/ESC_Rarg_SC_5k_rep1.R1_fastqc.zip
FastQC	all_sections	ESC_Rarg_PT_5k_rep1.R1	/home1/gyang/work_space/4.ProjectET/batch16_cr/1.rawdata/fastqc/ESC_Rarg_PT_5k_rep1.R1_fastqc.zip
FastQC	all_sections	ESC_Rarg_SC_100k_rep1.R1	/home1/gyang/work_space/4.ProjectET/batch16_cr/1.rawdata/fastqc/ESC_Rarg_SC_100k_rep1.R1_fastqc.zip
FastQC	all_sections	ESC_Rarg_SC_5k_rep1.R2	/home1/gyang/work_space/4.ProjectET/batch16_cr/1.rawdata/fastqc/ESC_Rarg_SC_5k_rep1.R2_fastqc.zip
FastQC	all_sections	ESC_Rarg_SC_100k_rep1.R2	/home1/gyang/work_space/4.ProjectET/batch16_cr/1.rawdata/fastqc/ESC_Rarg_SC_100k_rep1.R2_fastqc.zip
FastQC	all_sections	ESC_Rarg_PT_10k_rep1.R2	/home1/gyang/work_space/4.ProjectET/batch16_cr/1.rawdata/fastqc/ESC_Rarg_PT_10k_rep1.R2_fastqc.zip
FastQC	all_sections	ESC_Rarg_PT_1k_rep1.R2	/home1/gyang/work_space/4.ProjectET/batch16_cr/1.rawdata/fastqc/ESC_Rarg_PT_1k_rep1.R2_fastqc.zip
FastQC	all_sections	ESC_Rarg_PT_10k_rep1.R1	/home1/gyang/work_space/4.ProjectET/batch16_cr/1.rawdata/fastqc/ESC_Rarg_PT_10k_rep1.R1_fastqc.zip
FastQC	all_sections	ESC_Rarg_PT_1k_rep1.R1	/home1/gyang/work_space/4.ProjectET/batch16_cr/1.rawdata/fastqc/ESC_Rarg_PT_1k_rep1.R1_fastqc.zip
FastQC	all_sections	ESC_Rarg_PT_100k_rep1.R1	/home1/gyang/work_space/4.ProjectET/batch16_cr/1.rawdata/fastqc/ESC_Rarg_PT_100k_rep1.R1_fastqc.zip
FastQC	all_sections	ESC_Rarg_SC_10k_rep1.R2	/home1/gyang/work_space/4.ProjectET/batch16_cr/1.rawdata/fastqc/ESC_Rarg_SC_10k_rep1.R2_fastqc.zip
FastQC	all_sections	ESC_Rarg_PT_100k_rep1.R2	/home1/gyang/work_space/4.ProjectET/batch16_cr/1.rawdata/fastqc/ESC_Rarg_PT_100k_rep1.R2_fastqc.zip
FastQC	all_sections	ESC_Rarg_SC_10k_rep1.R1	/home1/gyang/work_space/4.ProjectET/batch16_cr/1.rawdata/fastqc/ESC_Rarg_SC_10k_rep1.R1_fastqc.zip
FastQC	all_sections	ESC_Rarg_PT_1k_rep2.R1	/home1/gyang/work_space/4.ProjectET/batch16_cr/1.rawdata/fastqc/ESC_Rarg_PT_1k_rep2.R1_fastqc.zip
FastQC	all_sections	ESC_Rarg_SC_1k_rep2.R2	/home1/gyang/work_space/4.ProjectET/batch16_cr/1.rawdata/fastqc/ESC_Rarg_SC_1k_rep2.R2_fastqc.zip
FastQC	all_sections	ESC_Rarg_SC_1k_rep2.R1	/home1/gyang/work_space/4.ProjectET/batch16_cr/1.rawdata/fastqc/ESC_Rarg_SC_1k_rep2.R1_fastqc.zip
FastQC	all_sections	ESC_Rarg_PT_1k_rep2.R2	/home1/gyang/work_space/4.ProjectET/batch16_cr/1.rawdata/fastqc/ESC_Rarg_PT_1k_rep2.R2_fastqc.zip
FastQC	all_sections	ESC_Rarg_SC_1k_rep1.R2	/home1/gyang/work_space/4.ProjectET/batch16_cr/1.rawdata/fastqc/ESC_Rarg_SC_1k_rep1.R2_fastqc.zip
FastQC	all_sections	ESC_Rarg_SC_1k_rep1.R1	/home1/gyang/work_space/4.ProjectET/batch16_cr/1.rawdata/fastqc/ESC_Rarg_SC_1k_rep1.R1_fastqc.zip
