Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
ESC_IgG_10k_rep1.R1	81.03553378794271	44.0	150.0	27.27272727272727	48996011.0
ESC_IgG_10k_rep1.R2	72.45749118724869	46.0	150.0	27.27272727272727	48996011.0
ESC_IgG_1k_rep1.R1	93.8266988444404	44.0	150.0	27.27272727272727	45944278.0
ESC_IgG_1k_rep1.R2	84.96257236430793	46.0	150.0	27.27272727272727	45944278.0
ESC_IgG_1k_rep2.R1	92.36191960198403	44.0	150.0	27.27272727272727	48766590.0
ESC_IgG_1k_rep2.R2	83.5123756767299	45.0	150.0	27.27272727272727	48766590.0
ESC_Sox2_10k_rep1.R1	70.56363139376082	46.0	150.0	27.27272727272727	60546555.0
ESC_Sox2_10k_rep1.R2	65.96397176364668	47.0	150.0	27.27272727272727	60546555.0
ESC_Sox2_1k_rep1.R1	91.64150503960414	45.0	150.0	27.27272727272727	49820265.0
ESC_Sox2_1k_rep1.R2	85.42816515611214	47.0	150.0	27.27272727272727	49820265.0
ESC_Sox2_1k_rep2.R1	91.79420067292638	45.0	150.0	27.27272727272727	53251172.0
ESC_Sox2_1k_rep2.R2	79.73179495710028	47.0	150.0	27.27272727272727	53251172.0
