dist_for_fit	mean	var
5000	0.03446390679274073	7.484681980537922e-05
10000	0.021634628838159094	3.444995639433578e-05
15000	0.01559246658550173	2.248018863165091e-05
20000	0.012278014426148138	1.6941499085889725e-05
25000	0.010205617038468695	1.3664230378720722e-05
30000	0.008785625105227993	1.1622703268388066e-05
35000	0.0077552489482191995	1.0109280946540552e-05
40000	0.006990944026732278	9.008033806511361e-06
45000	0.006379548824239502	8.091502702587706e-06
50000	0.005896467079855313	7.505715749733098e-06
55000	0.005493875357666514	6.9013372385341145e-06
60000	0.00515071910030425	6.433571631022612e-06
65000	0.0048736027918136	6.019095026466876e-06
70000	0.004619758170056234	5.631181753566285e-06
75000	0.0043864605728793455	5.280662960409762e-06
80000	0.0041986977523311	5.045131784855781e-06
85000	0.004017866753998642	4.711386492078438e-06
90000	0.003860993275817723	4.520858352699962e-06
95000	0.003719765785221725	4.266557607668122e-06
100000	0.003581174312677034	4.073052576592037e-06
105000	0.0034610826178117123	3.892030431818152e-06
110000	0.003352102519310539	3.788903119329798e-06
115000	0.0032424302847476	3.6061081135006894e-06
120000	0.0031465138322571695	3.4919630956720536e-06
125000	0.0030566730552586538	3.3078605374144105e-06
130000	0.002971038815806702	3.1985268941148216e-06
135000	0.0028926427464364907	3.118070280350304e-06
140000	0.0028094325965408577	2.9241726351655943e-06
145000	0.0027411768531885026	2.810770563871783e-06
150000	0.0026693929434291456	2.7194809667811234e-06
155000	0.002603307213982756	2.625878636867231e-06
160000	0.002547163276167946	2.536178663361607e-06
165000	0.002486193814426577	2.4480639608214128e-06
170000	0.0024293603337605524	2.374564593787302e-06
175000	0.002379106605931504	2.3272000002452338e-06
180000	0.0023271838744545227	2.2016588220053117e-06
185000	0.002281477212612119	2.1941477887092283e-06
190000	0.002234667305656159	2.1461760814100053e-06
195000	0.0021908390999638232	2.0103473396116373e-06
200000	0.0021512160422062746	2.0404503766952186e-06
205000	0.0021091237428275777	1.9243477006024706e-06
210000	0.0020673644936805013	1.9765924003671636e-06
215000	0.0020339021618049308	1.8334221048913413e-06
220000	0.001997363613049774	1.8166950786598084e-06
225000	0.0019657162374527395	1.7464098553880162e-06
230000	0.0019315826966642444	1.7031428548728347e-06
235000	0.0018982531574753302	1.6603957618515559e-06
240000	0.0018723305775856117	1.6473455921164616e-06
245000	0.001839059626230663	1.5658338045985845e-06
250000	0.0018134675651247077	1.5453651974376856e-06
255000	0.0017894184645745666	1.4920872710970212e-06
260000	0.0017620139085046047	1.5140288144998809e-06
265000	0.0017381985042096448	1.4354288685982157e-06
270000	0.0017160089474335108	1.4204815769800178e-06
275000	0.0016939986749070375	1.4513180604240887e-06
280000	0.0016712735920937733	1.3503724635894659e-06
285000	0.0016479911431519678	1.3087845463464163e-06
290000	0.0016262522201801102	1.3186420580299855e-06
295000	0.0016112441905567372	1.3448363242344635e-06
300000	0.0015889712809582907	1.267652910370636e-06
305000	0.0015721905131554977	1.242978563071728e-06
310000	0.0015488607068105747	1.1893368959633487e-06
315000	0.0015335832472562698	1.181646764527609e-06
320000	0.0015200875421605697	1.1892755609819709e-06
325000	0.0015072022710656621	1.1998355536399313e-06
330000	0.0014854986831189891	1.2490112190332888e-06
335000	0.0014736825721609387	1.10886408688819e-06
340000	0.0014609809602971978	1.1640622980295954e-06
345000	0.0014436529812994986	1.149756185393599e-06
350000	0.0014296167413191871	1.059260847433688e-06
355000	0.001414434283557799	1.0778749860401483e-06
360000	0.0014017065527269815	1.0557704869244806e-06
365000	0.001389876607183275	9.982810718404577e-07
370000	0.0013762237151479907	1.0117107289598952e-06
375000	0.0013654420734704265	9.537796600232062e-07
380000	0.0013542519014921308	9.487000220990533e-07
385000	0.0013430308681998662	9.478053516120499e-07
390000	0.0013315610219420786	9.259208584542222e-07
395000	0.0013226350160920474	9.155654800109177e-07
400000	0.0013133804595951714	1.0077555405281934e-06
405000	0.0013040960608180503	9.113619881414593e-07
410000	0.0012911314738550395	8.654125539852883e-07
415000	0.001283359964710856	8.811856428146675e-07
420000	0.0012748480535310091	9.301058968745402e-07
425000	0.0012666331089053872	8.989930516926353e-07
430000	0.001257121476761082	9.104793216592945e-07
435000	0.0012479516765709743	9.368159334886703e-07
440000	0.0012380515960710235	9.185894820344907e-07
445000	0.0012307668325115162	7.796754154099195e-07
450000	0.0012229359456463835	8.094427467024602e-07
455000	0.0012172130627991669	7.792712108979707e-07
460000	0.0012062390916339645	7.571910276338729e-07
465000	0.001201884535959837	7.625311959579412e-07
470000	0.0011930960256071768	7.538363902045686e-07
475000	0.0011860080939700315	7.325103296354195e-07
480000	0.0011783028777414763	7.202062122212425e-07
485000	0.0011747969229885383	7.075486565142098e-07
