Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
ESC_Tfap2c_100k_rep1.R1	22.265554789178708	44.0	150.0	18.181818181818183	43830175.0
ESC_Tfap2c_100k_rep1.R2	20.74992672749258	45.0	150.0	18.181818181818183	43830175.0
ESC_Tfap2c_10k_rep1.R1	29.206392578663895	45.0	150.0	18.181818181818183	53428943.0
ESC_Tfap2c_10k_rep1.R2	27.941284640201133	47.0	150.0	36.36363636363637	53428943.0
ESC_Tfap2c_1k_rep1.R1	44.61792018423861	46.0	150.0	27.27272727272727	57681906.0
ESC_Tfap2c_1k_rep1.R2	41.63363403644116	49.0	150.0	36.36363636363637	57681906.0
ESC_Tfap2c_1k_rep2.R1	43.50327928031067	46.0	150.0	27.27272727272727	51929280.0
ESC_Tfap2c_1k_rep2.R2	40.39904916107622	49.0	150.0	36.36363636363637	51929280.0
ESC_Tfap2c_5k_rep1.R1	35.27594472889126	46.0	150.0	27.27272727272727	49721017.0
ESC_Tfap2c_5k_rep1.R2	32.576300249474116	48.0	150.0	36.36363636363637	49721017.0
