Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-total_sequences	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-percent_gc
MEF_Dux-CHA_10k_rep1.R1	24.8765601065	150.0	49156827.0	18.1818181818	46.0
MEF_Dux-CHA_10k_rep1.R2	23.9412837785	150.0	49156827.0	27.2727272727	48.0
MEF_Dux-CHA_1k_rep1.R1	45.3179804442	150.0	57793665.0	36.3636363636	48.0
MEF_Dux-CHA_1k_rep1.R2	42.248271806	150.0	57793665.0	36.3636363636	52.0
MEF_Dux-CHA_1k_rep2.R1	46.5709271054	150.0	53061921.0	36.3636363636	50.0
MEF_Dux-CHA_1k_rep2.R2	36.8549995204	150.0	53061921.0	36.3636363636	54.0
MEF_Dux-NHA_10k_rep1.R1	28.5463766075	150.0	48931611.0	18.1818181818	45.0
MEF_Dux-NHA_10k_rep1.R2	27.6345293768	150.0	48931611.0	18.1818181818	48.0
MEF_Dux-NHA_1k_rep1.R1	45.4875964738	150.0	57569954.0	36.3636363636	49.0
MEF_Dux-NHA_1k_rep1.R2	35.1349490716	150.0	57569954.0	36.3636363636	53.0
MEF_Dux-NHA_1k_rep2.R1	43.1341336551	150.0	44588549.0	36.3636363636	49.0
MEF_Dux-NHA_1k_rep2.R2	38.2964017868	150.0	44588549.0	36.3636363636	53.0
