Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
EPI_E6.5_Tfap2c_rep1.R1	37.95427016940144	47.0	150.0	27.27272727272727	54399566.0
EPI_E6.5_Tfap2c_rep1.R2	36.253954567429204	50.0	150.0	36.36363636363637	54399566.0
EPI_E6.5_Tfap2c_rep2.R1	32.955285980206554	46.0	150.0	27.27272727272727	52666036.0
EPI_E6.5_Tfap2c_rep2.R2	31.7729424638284	48.0	150.0	36.36363636363637	52666036.0
EPI_E6.5_Tfap2c_rep3.R1	33.247971380709956	47.0	150.0	18.181818181818183	49768305.0
EPI_E6.5_Tfap2c_rep3.R2	31.94481763769879	49.0	150.0	36.36363636363637	49768305.0
EXE_E6.5_Tead4_rep1.R1	43.55769039645298	47.0	150.0	18.181818181818183	54849024.0
EXE_E6.5_Tead4_rep1.R2	41.57477917361129	50.0	150.0	36.36363636363637	54849024.0
EXE_E6.5_Tead4_rep2.R1	44.10304818902614	47.0	150.0	27.27272727272727	60093957.0
EXE_E6.5_Tead4_rep2.R2	42.266363177153146	49.0	150.0	36.36363636363637	60093957.0
EXE_E6.5_Tfap2c_rep1.R1	27.29597294528905	48.0	150.0	27.27272727272727	44318844.0
EXE_E6.5_Tfap2c_rep1.R2	25.72220846204054	51.0	150.0	36.36363636363637	44318844.0
EXE_E6.5_Tfap2c_rep2.R1	24.734251285782193	48.0	150.0	18.181818181818183	41173100.0
EXE_E6.5_Tfap2c_rep2.R2	23.663887244958104	50.0	150.0	27.27272727272727	41173100.0
EXE_E6.5_Tfap2c_rep3.R1	30.622179773670766	48.0	150.0	27.27272727272727	58399116.0
EXE_E6.5_Tfap2c_rep3.R2	29.166175592999835	50.0	150.0	27.27272727272727	58399116.0
