Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-total_sequences	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-percent_gc
ESC_IgG_10k_rep1.R1_cut	33.9874216812	139.251743285	39584897.0	18.1818181818	42.0
ESC_IgG_10k_rep1.R2_cut	32.4335445219	139.12028681	39584897.0	18.1818181818	42.0
ESC_IgG_1k_rep1.R1_cut	50.1546711555	141.104510263	29275010.0	27.2727272727	44.0
ESC_IgG_1k_rep1.R2_cut	48.1810458891	141.219310156	29275010.0	18.1818181818	44.0
ESC_IgG_1k_rep2.R1_cut	56.1586778074	140.119306042	42960054.0	18.1818181818	44.0
ESC_IgG_1k_rep2.R2_cut	53.1666557824	139.958950913	42960054.0	27.2727272727	44.0
ESC_Nanog_100k_rep1.R1_cut	20.3408920646	144.534312004	47266417.0	9.09090909091	43.0
ESC_Nanog_100k_rep1.R2_cut	19.7436742763	144.315965414	47266417.0	9.09090909091	44.0
ESC_Nanog_10k_rep1.R1_cut	28.9418737	143.734563337	58960476.0	9.09090909091	43.0
ESC_Nanog_10k_rep1.R2_cut	27.3413803133	143.659641808	58960476.0	9.09090909091	43.0
ESC_Nanog_1k_rep1.R1_cut	36.2172403713	144.94141489	34715101.0	9.09090909091	44.0
ESC_Nanog_1k_rep1.R2_cut	34.6104780693	144.853940537	34715101.0	9.09090909091	44.0
ESC_Nanog_1k_rep2.R1_cut	45.625054789	143.534105542	37243317.0	9.09090909091	45.0
ESC_Nanog_1k_rep2.R2_cut	42.2440394592	143.434069312	37243317.0	9.09090909091	45.0
ESC_Nanog_5k_rep1.R1_cut	29.0373451862	144.63201286	49142163.0	18.1818181818	43.0
ESC_Nanog_5k_rep1.R2_cut	26.9293467977	144.530105685	49142163.0	9.09090909091	43.0
ESC_Sox2_100k_rep1.R1_cut	28.9875647923	139.479316397	47884961.0	18.1818181818	41.0
ESC_Sox2_100k_rep1.R2_cut	28.2143240916	139.323980007	47884961.0	18.1818181818	42.0
ESC_Sox2_10k_rep1.R1_cut	48.0754754319	141.315290649	55524165.0	18.1818181818	41.0
ESC_Sox2_10k_rep1.R2_cut	46.161221743	141.249630679	55524165.0	18.1818181818	42.0
ESC_Sox2_1k_rep1.R1_cut	62.5998417324	143.149086614	28861243.0	27.2727272727	44.0
ESC_Sox2_1k_rep1.R2_cut	60.5073947912	143.299399579	28861243.0	27.2727272727	44.0
ESC_Sox2_1k_rep2.R1_cut	58.4813265911	141.828315715	34577696.0	27.2727272727	43.0
ESC_Sox2_1k_rep2.R2_cut	57.1039651635	141.713699779	34577696.0	27.2727272727	43.0
ESC_Sox2_5k_rep1.R1_cut	47.986158388	141.398027238	42241893.0	18.1818181818	42.0
ESC_Sox2_5k_rep1.R2_cut	46.2113342349	141.280090644	42241893.0	18.1818181818	42.0
