Module	Section	Sample Name	Source
FastQC	all_sections	8Cell_Ctrl_input.R2	/home1/gyang/work_space/4.ProjectET/batch32_cr/1.rawdata/fastqc/8Cell_Ctrl_input.R2_fastqc.zip
FastQC	all_sections	8Cell_Ctrl_input.R1	/home1/gyang/work_space/4.ProjectET/batch32_cr/1.rawdata/fastqc/8Cell_Ctrl_input.R1_fastqc.zip
FastQC	all_sections	8Cell_siTfap2c_H3K4me3_rep2.R2	/home1/gyang/work_space/4.ProjectET/batch32_cr/1.rawdata/fastqc/8Cell_siTfap2c_H3K4me3_rep2.R2_fastqc.zip
FastQC	all_sections	8Cell_siTfap2c_H3K4me3_rep2.R1	/home1/gyang/work_space/4.ProjectET/batch32_cr/1.rawdata/fastqc/8Cell_siTfap2c_H3K4me3_rep2.R1_fastqc.zip
FastQC	all_sections	8Cell_siTfap2c_input.R2	/home1/gyang/work_space/4.ProjectET/batch32_cr/1.rawdata/fastqc/8Cell_siTfap2c_input.R2_fastqc.zip
FastQC	all_sections	8Cell_siTfap2c_input.R1	/home1/gyang/work_space/4.ProjectET/batch32_cr/1.rawdata/fastqc/8Cell_siTfap2c_input.R1_fastqc.zip
FastQC	all_sections	8Cell_siTfap2c_H3K4me3_rep1.R2	/home1/gyang/work_space/4.ProjectET/batch32_cr/1.rawdata/fastqc/8Cell_siTfap2c_H3K4me3_rep1.R2_fastqc.zip
FastQC	all_sections	8Cell_siTfap2c_H3K4me3_rep1.R1	/home1/gyang/work_space/4.ProjectET/batch32_cr/1.rawdata/fastqc/8Cell_siTfap2c_H3K4me3_rep1.R1_fastqc.zip
FastQC	all_sections	8Cell_Ctrl_H3K4me3_rep2.R2	/home1/gyang/work_space/4.ProjectET/batch32_cr/1.rawdata/fastqc/8Cell_Ctrl_H3K4me3_rep2.R2_fastqc.zip
FastQC	all_sections	8Cell_Ctrl_H3K4me3_rep2.R1	/home1/gyang/work_space/4.ProjectET/batch32_cr/1.rawdata/fastqc/8Cell_Ctrl_H3K4me3_rep2.R1_fastqc.zip
FastQC	all_sections	8Cell_Ctrl_H3K4me3_rep1.R1	/home1/gyang/work_space/4.ProjectET/batch32_cr/1.rawdata/fastqc/8Cell_Ctrl_H3K4me3_rep1.R1_fastqc.zip
FastQC	all_sections	8Cell_Ctrl_H3K4me3_rep1.R2	/home1/gyang/work_space/4.ProjectET/batch32_cr/1.rawdata/fastqc/8Cell_Ctrl_H3K4me3_rep1.R2_fastqc.zip
