sample	total_pairs	duplicate_pairs	ratio
CP_EPI_E6-5_Nanog_rep1	28185427	13849566	49.1373%
CP_EPI_E6-5_Nanog_rep2	26066548	13733847	52.6876%
CP_EPI_E6-5_Nanog_rep3	24221847	11815705	48.7812%
CP_EPI_E6-5_Sox2_rep1	31182823	13333481	42.7591%
CP_EPI_E6-5_Sox2_rep2	29139295	13680724	46.9494%
CP_EPI_E6-5_Sox2_rep3	33855911	18755078	55.3968%
CP_EXE_E6-5_Cdx2_rep1	33336992	16198145	48.5891%
CP_EXE_E6-5_Cdx2_rep2	26146907	9615758	36.7759%
CP_EXE_E6-5_Cdx2_rep3	24034750	10544667	43.8726%
CP_VE_E6-5_Gata6_rep1	26247073	16621882	63.3285%
CP_VE_E6-5_Gata6_rep2	20294494	12497179	61.5792%
CP_VE_E6-5_Gata6_rep3	29663500	14246814	48.0281%
