	EPI_E65_Tfap2c_rep1	EPI_E65_Tfap2c_rep2	Morula_Tfap2c_rep1	Morula_Tfap2c_rep2	8Cell_Tfap2c_rep1	8Cell_Tfap2c_rep2	EXE_E65_Tfap2c_rep1	EXE_E65_Tfap2c_rep2	TE_Tfap2c_rep1	ICM_Tfap2c_rep1	ICM_Tfap2c_rep2	TE_Tfap2c_rep2	TSC_Tfap2c_1k_rep1	TSC_Tfap2c_1k_rep2	ESC_Tfap2c_1k_rep1	ESC_Tfap2c_1k_rep2
EPI_E65_Tfap2c_rep1	1.0000	0.9477	0.4779	0.4809	0.4635	0.4580	0.4929	0.4946	0.4089	0.4259	0.4455	0.4409	0.4319	0.4377	0.6134	0.6109
EPI_E65_Tfap2c_rep2	0.9477	1.0000	0.4969	0.5008	0.4851	0.4800	0.5062	0.5074	0.4228	0.4422	0.4614	0.4597	0.4335	0.4401	0.6170	0.6101
Morula_Tfap2c_rep1	0.4779	0.4969	1.0000	0.9751	0.9549	0.9491	0.8864	0.8880	0.8822	0.8955	0.9240	0.9254	0.7962	0.8035	0.7920	0.7879
Morula_Tfap2c_rep2	0.4809	0.5008	0.9751	1.0000	0.9564	0.9517	0.8843	0.8853	0.8772	0.8893	0.9193	0.9215	0.7898	0.7974	0.7894	0.7860
8Cell_Tfap2c_rep1	0.4635	0.4851	0.9549	0.9564	1.0000	0.9639	0.8610	0.8614	0.8394	0.8570	0.8844	0.8862	0.7640	0.7730	0.7574	0.7498
8Cell_Tfap2c_rep2	0.4580	0.4800	0.9491	0.9517	0.9639	1.0000	0.8547	0.8549	0.8311	0.8466	0.8738	0.8782	0.7559	0.7656	0.7525	0.7439
EXE_E65_Tfap2c_rep1	0.4929	0.5062	0.8864	0.8843	0.8610	0.8547	1.0000	0.9772	0.8628	0.8786	0.8950	0.8931	0.8875	0.8941	0.8205	0.8196
EXE_E65_Tfap2c_rep2	0.4946	0.5074	0.8880	0.8853	0.8614	0.8549	0.9772	1.0000	0.8670	0.8805	0.8970	0.8953	0.8886	0.8947	0.8182	0.8195
TE_Tfap2c_rep1	0.4089	0.4228	0.8822	0.8772	0.8394	0.8311	0.8628	0.8670	1.0000	0.9533	0.9574	0.9651	0.8251	0.8256	0.7587	0.7668
ICM_Tfap2c_rep1	0.4259	0.4422	0.8955	0.8893	0.8570	0.8466	0.8786	0.8805	0.9533	1.0000	0.9633	0.9579	0.8329	0.8350	0.8019	0.8065
ICM_Tfap2c_rep2	0.4455	0.4614	0.9240	0.9193	0.8844	0.8738	0.8950	0.8970	0.9574	0.9633	1.0000	0.9721	0.8463	0.8488	0.8180	0.8241
TE_Tfap2c_rep2	0.4409	0.4597	0.9254	0.9215	0.8862	0.8782	0.8931	0.8953	0.9651	0.9579	0.9721	1.0000	0.8310	0.8340	0.7883	0.7895
TSC_Tfap2c_1k_rep1	0.4319	0.4335	0.7962	0.7898	0.7640	0.7559	0.8875	0.8886	0.8251	0.8329	0.8463	0.8310	1.0000	0.9877	0.7768	0.7958
TSC_Tfap2c_1k_rep2	0.4377	0.4401	0.8035	0.7974	0.7730	0.7656	0.8941	0.8947	0.8256	0.8350	0.8488	0.8340	0.9877	1.0000	0.7800	0.7970
ESC_Tfap2c_1k_rep1	0.6134	0.6170	0.7920	0.7894	0.7574	0.7525	0.8205	0.8182	0.7587	0.8019	0.8180	0.7883	0.7768	0.7800	1.0000	0.9485
ESC_Tfap2c_1k_rep2	0.6109	0.6101	0.7879	0.7860	0.7498	0.7439	0.8196	0.8195	0.7668	0.8065	0.8241	0.7895	0.7958	0.7970	0.9485	1.0000
