	EXE_E65_Tead4_rep1	EXE_E65_Tead4_rep2	TSC_Tead4_SC_1k_rep1	TSC_Tead4_SC_1k_rep2	8Cell_Tead4_rep1	8Cell_Tead4_rep2	Morula_Tead4_rep1	Morula_Tead4_rep2	TE_Tead4_rep1	TE_Tead4_rep2
EXE_E65_Tead4_rep1	1.0000	0.9336	0.7881	0.8010	0.7495	0.7409	0.7761	0.7852	0.7835	0.7464
EXE_E65_Tead4_rep2	0.9336	1.0000	0.7861	0.8009	0.7580	0.7476	0.7849	0.7936	0.7869	0.7493
TSC_Tead4_SC_1k_rep1	0.7881	0.7861	1.0000	0.8710	0.6467	0.6400	0.6680	0.6740	0.6773	0.6544
TSC_Tead4_SC_1k_rep2	0.8010	0.8009	0.8710	1.0000	0.6622	0.6531	0.6827	0.6879	0.6820	0.6559
8Cell_Tead4_rep1	0.7495	0.7580	0.6467	0.6622	1.0000	0.9533	0.9265	0.9200	0.7599	0.7310
8Cell_Tead4_rep2	0.7409	0.7476	0.6400	0.6531	0.9533	1.0000	0.9175	0.9151	0.7673	0.7316
Morula_Tead4_rep1	0.7761	0.7849	0.6680	0.6827	0.9265	0.9175	1.0000	0.9514	0.7882	0.7650
Morula_Tead4_rep2	0.7852	0.7936	0.6740	0.6879	0.9200	0.9151	0.9514	1.0000	0.8001	0.7666
TE_Tead4_rep1	0.7835	0.7869	0.6773	0.6820	0.7599	0.7673	0.7882	0.8001	1.0000	0.8329
TE_Tead4_rep2	0.7464	0.7493	0.6544	0.6559	0.7310	0.7316	0.7650	0.7666	0.8329	1.0000
