Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
ESC_Klf5_100k_rep1.R1	18.426802056461383	43.0	150.0	9.090909090909092	30708918.0
ESC_Klf5_100k_rep1.R2	18.173373658430208	43.0	150.0	9.090909090909092	30708918.0
ESC_Klf5_10k_rep1.R1	26.531052468049296	44.0	150.0	9.090909090909092	42330289.0
ESC_Klf5_10k_rep1.R2	25.66513936501765	44.0	150.0	9.090909090909092	42330289.0
ESC_Klf5_1k_rep1.R1	39.596660617989684	46.0	150.0	9.090909090909092	43782440.0
ESC_Klf5_1k_rep1.R2	36.0478887650663	47.0	150.0	9.090909090909092	43782440.0
ESC_Klf5_1k_rep2.R1	33.663436501886764	45.0	150.0	9.090909090909092	36276471.0
ESC_Klf5_1k_rep2.R2	30.64649250485313	46.0	150.0	9.090909090909092	36276471.0
ESC_Klf5_5k_rep1.R1	38.08227510558423	45.0	150.0	9.090909090909092	36727444.0
ESC_Klf5_5k_rep1.R2	36.21920685490534	45.0	150.0	9.090909090909092	36727444.0
ESC_Oct4_100k_rep1.R1	19.39219582586665	42.0	150.0	9.090909090909092	29977502.0
ESC_Oct4_100k_rep1.R2	18.801765041189427	42.0	150.0	9.090909090909092	29977502.0
ESC_Oct4_10k_rep1.R1	24.65714736456816	42.0	150.0	9.090909090909092	33034004.0
ESC_Oct4_10k_rep1.R2	23.475594351934134	42.0	150.0	9.090909090909092	33034004.0
ESC_Oct4_1k_rep1.R1	36.34977132827281	44.0	150.0	9.090909090909092	40795238.0
ESC_Oct4_1k_rep1.R2	33.63060160155287	44.0	150.0	9.090909090909092	40795238.0
ESC_Oct4_1k_rep2.R1	30.95669228972045	44.0	150.0	9.090909090909092	35824407.0
ESC_Oct4_1k_rep2.R2	28.99750542988292	44.0	150.0	9.090909090909092	35824407.0
ESC_Oct4_5k_rep1.R1	30.24876455971996	43.0	150.0	9.090909090909092	32959718.0
ESC_Oct4_5k_rep1.R2	29.08481573034298	43.0	150.0	9.090909090909092	32959718.0
