Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
TSC_Cdx2_100k_rep1.R1	30.552214759902526	44.0	150.0	9.090909090909092	45425735.0
TSC_Cdx2_100k_rep1.R2	19.79348911310575	46.0	150.0	27.27272727272727	45425735.0
TSC_Cdx2_10k_rep1.R1	30.53386503415871	45.0	150.0	27.27272727272727	53076285.0
TSC_Cdx2_10k_rep1.R2	29.292450008591487	48.0	150.0	36.36363636363637	53076285.0
TSC_Cdx2_1k_rep1.R1	40.64425380512515	50.0	150.0	36.36363636363637	45189959.0
TSC_Cdx2_1k_rep1.R2	38.43451524369499	53.0	150.0	36.36363636363637	45189959.0
TSC_Cdx2_1k_rep2.R1	41.82557010788999	48.0	150.0	36.36363636363637	51029195.0
TSC_Cdx2_1k_rep2.R2	39.69525060693818	52.0	150.0	36.36363636363637	51029195.0
TSC_Cdx2_5k_rep1.R1	35.25768451405037	46.0	150.0	9.090909090909092	55631229.0
TSC_Cdx2_5k_rep1.R2	23.176947425628597	48.0	150.0	36.36363636363637	55631229.0
TSC_IgG_10k_rep1.R1	23.453756159745993	45.0	150.0	27.27272727272727	42933128.0
TSC_IgG_10k_rep1.R2	22.7444802860676	47.0	150.0	36.36363636363637	42933128.0
TSC_IgG_1k_rep1.R1	34.377300484515345	48.0	150.0	36.36363636363637	56687826.0
TSC_IgG_1k_rep1.R2	31.808319061904527	51.0	150.0	36.36363636363637	56687826.0
TSC_IgG_1k_rep2.R1	31.431694642263466	48.0	150.0	36.36363636363637	44801008.0
TSC_IgG_1k_rep2.R2	29.078605449844687	50.0	150.0	36.36363636363637	44801008.0
